Tom is ill.	汤姆生病了。
Our refrigerator isn't working.	我們的冰箱壞了。
She went for a walk.	她去散步了。
A laptop is better than a desktop.	笔记本电脑比台式电脑好。
He had his sister help him paint the wall of his room.	他让妹妹帮他涂他房间的墙。
I took my temperature every six hours.	我每六小时量一次体温。
I can speak Chinese, but I can't read it.	我會說中文，但是我不會讀中文。
When will the rainy season be over?	雨季何時會結束？
Are you still cold?	你还冷吗？
I'd like you to have a blood test.	我希望你做血液檢查。
I don't like the taste of tomatoes.	我不喜歡蕃茄的味道。
I'll never forget shaking the President's hand last year.	我决不会忘记去年与总统握手的情景。
I'll drop you off at the station.	我載你到車站。
He earns double my salary.	他的工资是我的两倍。
Tom said that he'd leave the door open.	汤姆说他打算让门开着。
He likes to read newspapers.	他喜欢看报纸。
He stole her watch.	他偷了她的手表。
Coffee will be served after the meal.	咖啡將會在餐後供應。
My shoes are bigger than yours.	我的鞋比你的大。
What Tom said doesn't apply in this situation.	汤姆所言不符时局。
I have known her for two years.	我认识她两年了。
I got five hours sleep last night.	我昨晚睡了五小时。
She was seen at a restaurant with her lover.	有人看見他和情人在飯店吃飯。
I caused him a lot of trouble.	我給他帶來了很多麻煩。
Nobody had ever heard of it.	以前從來沒有人聽說過。
I don't like novels without heroes.	我不喜欢没有英雄的小说。
She will be glad if you go to see her in person.	如果你單獨去看她, 她會很高興的。
I often look up words in that dictionary.	我经常用那本词典找单词。
Grandmother sent us a box of apples.	奶奶送了我們一箱蘋果。
This is the house where I used to live when I was young.	这是我年轻时候住的房子。
He's started looking for a job.	他开始找工作了。
I feel like playing cards. "So do I."	“我想打牌。”“我也是。”
Nothing seems to grow in this soil.	這個土壤似乎長不出任何東西來。
Mathematics is difficult for me.	數學對我來說很難。
Man is mortal.	人固有一死。
I like listening to the radio.	我喜歡聽收音機。
Jealousy made him do that.	嫉妒讓他那樣做。
I shouldn't have done it.	我本不应该做的。
She decided to resign from her job.	她決定辭去她的工作。
Tom is an electrical engineer.	湯姆是一個電子工程師。
I want a girlfriend.	我想找女朋友。
It's snowing today.	今天下雪。
I know the real reason you don't want go.	我知道你不想去的真实原因。
Shakespeare is the name of a writer.	莎士比亞是一位作家的名字。
He calls her up every night.	他每天晚上打電話給她。
Tom isn't an angel.	汤姆不是天使。
I hurried in order to catch the first train.	我匆匆忙忙，为的是能赶上第一班火车。
I'd like a room with a good view.	我喜欢视野好的房子。
Suddenly it began to rain.	突然開始下雨。
Is she coming, too? "I hope so."	“她也会来吗？” “我希望是这样。”
He thought that it was like a bird cage.	他认为这像个鸟笼。
It is bad manners to point at people.	用手指点别人不礼貌。
Let's keep in touch.	让我们保持联络。
He still loves her.	他仍然爱着她。
Can you tell me where the nearest antique shop is?	你能告诉我最近的古玩店在哪里吗？
Let's hope you don't need it.	希望你用不着它。
Do you believe ghosts exist?	你相信鬼存在吗？
Go back to your seat.	回到你的座位。
Tom can't get his car started.	汤姆没法发动他的车。
I don't care as long as you're happy.	只要你开心就行了。
May I ask how old you are?	请问您老人家高寿？
I won't talk to him anymore.	我不會再跟他說話了。
I don't want to sleep.	我不想睡覺。
I'm the best.	我是最好的。
Soldiers must carry out their orders.	軍人必須履行他們的命令。
One of your buttons has come off.	你的一個按鈕脫落了。
I want a dog.	我想要一隻狗。
Please close the door behind you.	請隨手關門。
I have many abilities.	我有很多才能。
I'll pay you back next week.	我下週去還你錢。
She and I are classmates.	她和我是同學。
I just saw Tom.	我刚刚见到汤姆了。
The universe is limitless.	宇宙浩瀚無邊。
Tom got first prize, didn't he?	湯姆得了第一名，不是嗎?
The doctor examined my throat.	醫生檢查了我的喉嚨。
I'd buy a new house if I had the money.	如果我有錢，我會買一個新房子。
That's a bad day for me.	那天我不行。
Is Tom at school?	汤姆在学校吗？
Nobody asked.	没人问过。
Have a good flight.	飞行愉快！
He doesn't believe in God.	他不信神。
I ate breakfast in my pajamas.	我穿著我的睡衣吃早餐。
Tom is in the living room.	汤姆在起居室里。
I thought you said you didn't see anything.	我記得你說你甚麼也沒看見。
He knows how to play baseball.	他知道怎么玩棒球。
Let me explain it to Tom.	我去跟湯姆解釋。
It makes sense.	那样说得通。
He likes to travel by himself.	他喜歡獨自旅行。
Would you give me a hint?	你可以给我一个提示吗？
What would you like to do in the future?	以后打算干什么？
What he says is total nonsense.	他说的话不合情理。
Raspberries are very expensive.	覆盆子很貴。
Tom was the last person Mary expected to see at John's party.	玛丽没料到会在约翰的聚会上见到汤姆。
The police officers arrested the burglar.	警察拘捕了這個竊賊。
Facts are stubborn things, but statistics are pliable.	事实是倔强的，但统计是柔顺的。
Wolves scare me.	狼嚇到了我。
I've been there a couple of times.	我去過那裡幾次。
I can't study with you watching me.	你盯著我看使我無法讀書。
I can't believe you love me.	我不能相信你愛我。
Do you know anyone who's not on Facebook?	你有認識沒有用Facebook的人嗎？
She gave me a watch.	她給了我一支手錶。
Is there a timetable?	有时间表吗？
My right hand is numb.	我的右手麻了。
Why did you come home so late?	你為什麼這麼晚回家？
They defended their country against the invaders.	他们抵御入侵者，保卫了国家。
Tom should thank me.	汤姆应该感谢我。
He arrived after the bell rang.	鈴響後他就到了。
Where is your brother?	你的哥哥在哪里?
How can we save Tom?	我们怎样才可以救汤姆？
The school needed a new teacher.	學校需要一個新的老師。
The policeman seized the boy by the arm.	警察抓住了那个男孩的手臂。
Some abstract art is difficult to understand.	一些抽象藝術是很難理解的。
Where will you go for the vacation?	你要去哪裡度假?
The prisoner was released.	囚犯重獲自由。
He thought up an excuse.	他编造了一个借口。
The washing machine is a wonderful invention.	洗衣機是一個很棒的發明。
The pain is unbearable.	疼痛令人难以忍受。
The food isn't very good here.	這裡的食物不是很好。
Some foods make you thirsty.	有些食物令人口渴。
Tom told me he hated Christmas.	汤姆告诉我他讨厌圣诞节。
Tom swam.	汤姆游泳了。
If I get rich, I will buy it.	如果我有钱，我就会买它。
He doesn't need to work.	他不需要工作。
I'm never late for school.	我從來沒有上學遲到。
Our baby cannot talk yet.	我家宝宝还不会说话。
Perhaps you're right.	也许您有道理。
Tom is a dolphin trainer.	汤姆是海豚训练员。
When I awoke, it was snowing.	當我醒來時，天正下著雪。
There are a lot of people in the park.	公园里有很多人。
It's warm today, isn't it?	今天很溫暖，不是嗎？
I can't explain it now.	我现在不能解释。
He is a famous composer.	他是一位著名的作曲家。
You're always late.	你总是迟到。
Listen to this!	听这个！
He lost a book.	他弄丟了一本書。
I can seldom find time for reading.	我很少能抽出时间看书。
I cannot speak Mandarin well.	我的中文說得不好。
She dusts the furniture every day.	她每天擦拭家具的灰塵。
They made their way through the crowd.	他們從人群中擠過去了。
Was that what Tom said?	那就是汤姆说的吗？
Tom and I have decided to go to Australia next summer.	汤姆和我决定下个夏天去澳大利亚
I want to buy this dictionary.	我想買這本字典。
I don't like eggs.	我不喜欢吃鸡蛋。
I have so many clothes I don't know what to wear tomorrow.	我有那么多衣服，以至于我不知道明天穿什么了。
Do you know a good dentist?	你有認識好的牙醫嗎？
No one came except Mary.	除了瑪麗沒有人來。
Tom came over to my house for dinner yesterday.	汤姆昨天来我家吃晚饭。
What sports do you like?	你喜歡什麼運動？
She must have taken the wrong bus.	她一定是搭錯了公車。
Her book is very interesting.	她的書非常有趣。
It's no use arguing about it.	爭論是它是沒有用的。
Who discovered radium?	誰發現了鐳?
Lips that touch liquor shall not touch mine.	碰過酒的嘴唇就別想碰我的唇。
My father works at a factory.	我父亲在工厂工作。
Please call a taxi for this lady.	请为这位女士叫辆出租车。
I gave you my word.	我和你保证。
He seldom writes to his father.	他很少写信给他父亲。
The old dog barked.	老狗叫了。
This noise is driving me crazy.	這個噪聲快把我逼瘋了。
He is a teacher at our school.	他是我們學校的老師。
I haven't made up my mind yet.	我還沒有下定決心。
World War II ended in 1945.	第二次世界大戰結束於1945年。
We gave our mother a watch.	我們給了母親一支手錶。
I see your point.	我明白你的重點。
Suddenly, I heard shouting.	突然，我听到了一声喊叫。
Answer the phone.	接电话。
I guess it depends on the weather.	我想這要看天氣情況而定。
I can't tell you how to pronounce the word.	我不知道怎么告诉你这个词的发音。
Learning English is hard work.	學習英語很辛苦。
Can you please give me something to do?	请问你能给我点事做吗？
Everyone knows of his affection for that dog.	每个人都知道他对那狗的感情。
I was given a nice watch by my uncle.	我叔叔给了我一块漂亮的手表。
Tom doesn't know the difference between Iraq and Iran.	汤姆不知道伊拉克和伊朗有什么区别。
I don't have the strength to keep trying.	我没力气继续尝试了。
He is better than anyone else.	他比任何人都好。
I've never been abroad before.	我以前从没去过国外。
That shop sells newspapers and magazines.	那家店卖报纸和杂志。
I walked three-fourths of a mile.	我走了四分之三英里。
It's getting warmer every day.	每天都在變暖。
My father likes pizza very much.	我父親非常喜歡披薩。
Aren't you the one who saved me?	你不是救了我的人嗎？
You're a friend of Tom's, aren't you?	你是湯姆的一個朋友，不是嗎？
He often sits by me and listens to music.	他经常坐在我旁边听音乐。
Do you know me?	你还认识我吗？
Did you phone Tom?	给汤姆打过电话了吗？
Do you want rice?	你們要米飯嗎？
I got him to repair my car.	我讓他修理我的車子。
You can't park around here.	你不能在這附近停車。
Thank you for inviting me.	謝謝你邀請我。
Is anybody there?	那边有人吗？
You should try to learn a little French.	你应该试试学点法语。
The bus stopped suddenly in the middle of the street.	公車突然在路中央停下來。
The conference ended at five.	會議在五點鐘結束。
It's one of the reasons.	這是其中一個原因。
May I go to the restroom?	我可以去洗手間嗎？
I work long hours.	我工作數小時。
There are many stores in this area.	這個區域有很多商店。
I've got it right here.	我就是在这得到它的。
You must pay attention to his advice.	你一定要注意他的建议。
This is my bicycle.	这是我的自行车。
This may not be a real diamond.	這可能不是一顆真的鑽石。
I returned the book to the library.	我把書還給圖書館。
Tom is Mary's ex-boyfriend.	汤姆是玛丽的前男友。
We had a lecture on environmental pollution.	我们有一节关于环境污染的讲座。
Let's clear up this problem.	让我们来澄清一下这个问题。
We'll be here for three more days.	我們還要在這里待三天。
Do you know what time it is in Boston?	请问现在波士顿是几点钟？
Do you have any Japanese beer?	您有日本啤酒吗？
Do you have a car?	您有车吗？
She's Tom's younger sister.	她是湯姆的妹妹。
Tom has lived here since 2003.	汤姆自从2003年就住在这里。
We know him.	我們認識他。
Let's start with Lesson Ten.	我们从第十课开始吧。
The lion is the king of the jungle.	狮子是丛林之王。
Congratulations!	祝贺！
Now it is official.	现在它是官方的。
This job pays pretty well.	这工作报酬很高。
Do you go to school on Saturday?	你星期六去上學嗎？
This lake is deepest at this point.	这里是湖最深的地方。
I am a man.	我是个男人。
Will you buy something?	你要买点东西吗？
I'm still mad.	我还是很气。
I feel hopeful about the future.	我對未來感到有希望。
Nothing is worse than war.	没有什么比战争更糟的了。
I will go to the meeting.	我将要去参加会议。
That is rather unexpected.	这真是很意外。
Keep on working.	繼續工作！
He wrote it down in his notebook.	他把这记在他的笔记本上。
Can you please tell me your name once more?	请问你能再告诉我一遍你的名字吗？
He still hasn't answered my letter.	他还没回我的信。
Where's your book? "On the table."	「你的書在哪？」「在桌上。」
My friend is studying Korean.	我的朋友在學朝鮮語。
She cried.	她哭了。
I was wrong.	我搞错了。
I'll join you later.	我一會兒就來。
Students generally like a teacher who understands their problems.	通常学生们喜欢理解他们问题的老师。
Tom has lost his mind.	湯姆失去理智了。
Tom returned to his hometown to visit his parents during the summer break.	汤姆在夏休回乡看望父母。
Tom probably knows someone who can teach us French.	湯姆應該知道有誰可以教我們法文。
We don't have any secrets.	我們沒有秘密。
You have a way with women.	你对女人有一套。
Would you please look over my report?	你可以仔細檢查一下我的報告嗎?
Shut your eyes.	闭上你们的眼睛。
They say she and her husband can't agree on anything.	他們說她和她的丈夫不可能對任何事達成協議。
The young man put out his hand and I shook it.	年轻人伸出他的手，接着我和他握了手。
Is this ladder strong enough to bear my weight?	这个梯子是否足够坚固以承受我的重量？
They were good.	他们不错。
Is Tom autistic?	汤姆有自闭症吗？
I have ten pens.	我有十支筆。
It's so different now.	现在真是不一样了。
He has three older sisters.	他有三个姐姐。
You had better go at once.	你最好馬上走。
He doesn't have any friends.	他没有朋友。
New Year's Day is close at hand.	元旦就在眼前。
I'm sad without you.	沒有你我很悲傷。
I will never forget the day when I first met him.	我永远不会忘记那天我第一次与他见面。
When does your new store open?	你的新商店什么时候开张？
Fasten your seat belt, please.	請繫好安全帶。
That's just what I wanted.	我想要的就是这个。
We went halfway up the mountain.	我們爬到了半山腰。
Stick a stamp on the envelope.	把郵票貼在信封上。
I don't think he'll say yes.	我不認為他會同意。
His record is a new world record in the 100-meter dash.	他刷新了百米短跑的世界紀錄。
This is considered to be a matter of great importance.	这被认为是一件大事。
I want that bag.	我想要那個袋子。
How's your wife, Tom?	你媳妇怎么样，汤姆？
When the phone rang, he ran to answer it.	電話響起時，他跑去接起。
Tom studies hard.	汤姆努力学习。
His scores are always better than mine, even though he doesn't study very much.	他的分数总比我高，尽管他学习得少一点。
I am very interested in French.	我對法語很感興趣。
My father graduated from Harvard University.	我爸爸是哈佛大学毕业的。
Can you name one of their songs?	你能够说出一首他们的歌的名字吗？
Tom changed into his uniform.	汤姆换上制服。
They are here.	他们在这里。
I regret eating those oysters.	我後悔吃了那些牡蠣。
Remember that I outrank you.	记住我的级别在你的之上。
We must learn to live in harmony with nature.	我们必须学会与自然和谐共处。
I am very concerned about his health.	我很关心他的健康。
Tom made me do that.	是汤姆让我做的。
He is flying to Paris tomorrow.	他明天將飛往巴黎。
I know that some people value my work.	我知道有些人看重我的工作。
Do you have a map?	你有地圖嗎？
She asked me a question.	她問了我一個問題。
It's a piece of cake.	小菜一碟。
Tom said that he wanted to eat Chinese food.	湯姆說他想吃中國菜。
Is the rain to blame?	是雨的錯？
You talk too much, he said.	“你说得太多了，”他说道。
I wanted to cry.	我想哭。
You are always watching TV.	你總是在看電視。
The ship was flying the American flag.	這艘船掛著美國國旗。
Tell Tom I'm sorry.	告诉汤姆我很抱歉。
Tom is no fool.	汤姆不傻。
Tom knows him.	湯姆認識他。
Listen, I've got to run.	听着，我要跑了。
He works for an advertising agency.	他為一家廣告公司工作。
I think we need a doggy bag.	看來我們得打包了。
I only want one.	我只想要一件东西。
It's impolite to stare at people.	盯著人看是不禮貌的。
I don't feel like taking a walk this morning.	我今天早上不想散步。
Many improvements have been made since this century began.	本世纪初以来，产生了很多进步。
I deleted the app.	我删除了这个应用。
I haven't made much progress.	我还没有取得那么大的进展。
He lied to me. That is why I am angry with him.	他对我说了谎，这就是为什么我生他的气了。
His wife is one of my friends.	他的妻子是我的一個朋友。
I'm accustomed to the climate.	我对这气候习惯了。
How many children do you have?	你有幾個小孩?
I doubt that Tom will ever learn how to speak French properly.	我对汤姆要持之以恒地学习法语口语这件事很怀疑。
She's popular, not because she's beautiful, but because she's kind to everyone.	她受歡迎不是因為她的美麗，而是因為她親切地對待每個人。
Do you know me?	你認識我嗎？
I believe in you.	我相信你。
You ought to have come to see me yesterday.	你昨天應該來看我的。
Had I arrived earlier, I could have seen Kelly.	如果我早點到，就能遇到凱莉了。
She speaks English better than any of her classmates.	她的英語說得比班上任何人都好。
Have you eaten dinner?	你吃晚飯了嗎？
Is this your first trip abroad?	這是你第一次出國嗎？
I'll think it over.	我會考慮一下。
According to the radio, it will snow tomorrow.	据广播里讲，明天会下雪。
What's your phone number?	您的手机号码是多少？
Don't laugh at him for making a mistake.	不要因为他犯了一个错误就嘲笑他。
I don't know if I have time to do it.	我不知道我是否有时间做。
I recognize that what he says is the truth.	我承认他说的是事实。
The information is very important to us.	这些信息对我们非常重要。
The city was destroyed by fire.	這個城市毀於火災。
The file is corrupt.	文件已损坏。
This school was founded in 1970.	这所学校是1970年建成的。
Modern technology has made our lives more comfortable.	现代科学技术让我们的生活更加舒适。
I'll alert Tom.	我会警告汤姆。
It's impossible to do the sights of Tokyo in a day or two.	一两天是没办法逛完东京的。
Please give me your permanent address.	請給我你的永久地址。
Let your hair down a little.	稍微随意一点。
I put it in the drawer.	我把它放在抽屜裡。
We all felt sorry for Tom.	我們都為Tom感到遺憾。
Winter is coming.	冬季快來了。
I can't find my glasses.	我找不到我的眼鏡。
I'm starting to agree with you.	我開始同意你的想法了。
Tom wants to pay back the money he owes.	汤姆想去还欠的钱。
Tom gave Mary a flashlight.	汤姆给了玛丽一把手电筒。
I work every day but Sunday.	我除了星期天外每天都上班。
In case of fire, push the button.	萬一發生火災，按下按鈕。
Can you walk?	你能走嗎？
Certainly she is correct.	當然，她是正確的。
The people here are accustomed to the cold.	这里的人习惯了寒冷。
I didn't hear anybody talking.	我沒聽到任何人在說話。
He vowed to give up smoking.	他发誓要戒烟。
I'll see you next month.	我下個月會來看你。
Tom has no friends who are willing to help him.	汤姆没有愿意帮助他的朋友。
She plays tennis every day.	她每天都打网球。
He works hard all the year round.	他一年到頭努力工作。
Please help yourself to the fruit.	請隨意吃水果。
He may be jogging around the park.	他可能在公園周圍慢跑。
I'll give you a little tip.	我会给你些提示。
I spent last Sunday reading a novel.	我上週日花時間看了一本小說。
Who did you see at the station?	你在車站看見了誰?
It's almost six o'clock.	差不多六点了。
Tom is a normal teenager.	湯姆是個普通的青少年。
I like potatoes.	我喜歡土豆。
I couldn't remember ever having met her.	我不记得曾经见过她。
I got sick from drinking too much.	因為喝酒喝太多，所以我生病了。
He was very patient.	他非常有耐心。
The man sitting next to me spoke to me.	坐在我旁边的男人跟我说话了。
They all envied my new car.	他们都羡慕我的新车。
The vacation is over now.	现在假期结束了。
He made the most of his opportunity.	他盡力地利用了這個機會。
English is spoken in many countries around the world.	全世界許多國家的人說英語。
Turn the flame down low.	把火轉小一點。
We'll be profitable this year.	今年我们会盈利的。
You may go anywhere.	你可以随便去哪儿。
They freed the prisoner.	他們釋放了犯人。
We don't like our neighbors, and they don't like us, either.	我們不喜歡我們的鄰居，而他們也不喜歡我們。
This coffee is too strong for me.	這個咖啡對我來說太濃了。
They were persecuted.	他们受到迫害。
A friend's coming over tomorrow.	一個朋友明天要過來。
Tom owes us a favor.	汤姆欠我们个情。
We didn't break in.	我们没有打断。
You don't know who I am.	您不知道我是谁。
I need to complete it as soon as possible.	我需要尽快完成。
Everyone attacked my opinion.	每個人都抨擊我的意見。
I have just come back from school.	我刚从学校回来。
I think you're really amazing.	我觉得你真是让人大吃一惊。
I hope I make a good first impression.	我希望我能留下個好的第一印象。
I'm now working in Boston.	我現在在波士頓工作。
Do you smoke?	您吸烟吗？
I'm very sorry that I came home so late.	我很抱歉那么晚回家。
I have nothing to do with the crime.	这个犯罪和我一点关系都没有。
Maybe he won't become famous.	也許他不會成名。
The picture is hanging on the wall.	那幅图挂在墙上。
I can't put up with this smell.	我不能忍受這種氣味。
Tom carried the chairs to the next room.	汤姆把椅子拿到了下个房间。
I couldn't agree with you more.	我再同意你不過了。
Explain to him the difficult situation you are in.	给他讲解一下你的困境。
I might make a mistake.	我可能犯了個錯。
There's something we need to talk about.	我们有些事要谈。
My mother did nothing but weep.	我的母亲只是默默地哭泣。
How old will you be next year?	明年你会是几岁？
Raise your hands.	手举起来。
Leaving something unfinished is the worst thing you can do.	半途而废是你所能做的最糟糕的事情。
This is too expensive.	这太贵了。
Can you make yourself understood in French?	別人聽得懂你說的法語嗎？
I have a friend who lives in America.	我有个美国朋友。
What are we having for dinner?	我们晚饭吃什么？
I can't believe your parents let you come here by yourself.	我不敢相信你父母让你自己过来。
Smiles do not always indicate pleasure.	微笑並不一定表示高興。
It's time for dinner.	吃晚飯的時間到了。
I don't think my life is very interesting.	我不認為我的人生很有趣。
She's good at handling children.	她善於處理兒童。
She's in the bath.	她在浴室。
I don't feel like eating out this evening.	今晚我没心情出去吃饭。
Rome wasn't built in a day.	罗马不是一天建成的。
I'll come as often as possible.	我會來盡可能常來。
Anything you say may be held against you in a court of law.	你所说的一切都将成为呈堂证供。
I need you to promise that you'll do what I ask you to do.	我需要你承诺你会照我说的话去做。
You are free to go home.	你隨時可以回家。
Swimming is good for your health.	游泳對你的健康很好。
I saw what Tom did.	我見識到了湯姆的作為。
Did you show it to your parents?	你給你父母看了嗎？
Her mother knocked on the door.	她的母親敲門。
She can sing and dance beautifully.	她會唱歌而且舞跳得很美。
I'd very much like to go.	我非常想离开。
I'm not letting Tom do this by himself.	我不会让汤姆独自去做。
Tom told me that he had lost his textbook.	汤姆告诉我他丢了课本。
He tried to concentrate on the letter.	他试图把注意力集中在信上。
He was satisfied with the work he had done.	他对自己的劳动成果很满意。
I always drink milk with my breakfast.	我早餐一定会喝牛奶。
According to the newspaper, he committed suicide.	據報紙上說，他自殺了。
I asked her a difficult question.	我問了她一個難題。
I owe Tom some money.	我欠湯姆錢。
You don't have to eat it.	你不必吃。
Tom needs a change of scenery.	汤姆需要换换风景。
What's your home phone number?	你家電話號碼是多少？
We're not scared of anybody.	我们谁都不怕。
I can do it without your help.	沒有你的幫忙我也能做。
Do you have a garage?	你有車庫嗎？
Do you know the reason why the sky looks blue?	你知道为什么天看起来这么蓝吗？
The plane was three hours late due to bad weather.	由于天气不好，飞机迟到了3小时。
Graham Greene is my favorite author.	格雷厄姆格林是我最喜歡的作家。
He picked up a mirror and examined his tongue.	他拿了面镜子细看自己的舌头。
I think it'll be hot tomorrow.	我觉得明天会很热。
I don't feel comfortable here.	我在這裡感到不舒服。
I just want to be happy.	我只想高兴。
I don't know right now.	我现在不知道。
She came to Tokyo when she was 18.	她18岁的时候来到东京。
Turn off the television. I can't concentrate.	把電視關掉。我無法專心。
This bicycle belongs to me.	这辆自行车属于我。
I like shopping with Tom.	我喜歡跟湯姆購物。
Mary tied an apron around her waist and then took the turkey out of the oven.	Mary试图把围裙围在腰上，然后把烤鸡从炉子里拿出来。
Are you sure that you want to go there?	你确定你要去那儿吗？
We got to the station at six.	我們六點鐘到了車站。
Close your mouth.	闭上你的嘴。
It's healthy to breathe deeply.	深呼吸有益健康。
Tom died in the evening of the day he and Mary got married.	汤姆死在了他和玛丽结婚的那天傍晚。
What's your favorite type of pizza?	你最喜歡的比薩類型是甚麼？
Tom has lost his interest in studying French.	汤姆已经对学法语不感兴趣了。
She followed him home to find out where he lived.	她跟他到家以得知他住哪。
She used to work for our company.	她以前在我們公司工作。
I'm sorry, but it's just not possible.	我很抱歉, 但它就是不可能的。
Could you please tell me again why you are late?	你能再向我解释一遍你为什么迟到了吗？
Do you believe in eternal life after death?	你相信死后永生吗？
You shouldn't have done that.	我不應該做那件事的。
I am amazed at your audacity.	我对你的厚颜无耻感到惊讶。
I tried to stop that from happening.	我试着阻止它发生。
Is this fish still alive?	这条鱼还是活的吗？
I arrived at school on time.	我按时到了学校。
His shirt was stained with sauce.	他的衬衫被酱汁弄脏了。
That's a pretty big assumption.	那是个很大的设想。
Smoking is not allowed here.	这里不允许抽烟。
Take as many peaches as you like.	你想拿多少桃子就拿多少。
Do you have this jacket in different colors?	你有不同顏色的外套嗎？
This dictionary contains about 40,000 headwords.	这本字典包含了约4万个词条。
Why do you want to study abroad?	为什么您想到外国读书？
I don't need anything.	我不需要任何東西。
I find politics very interesting.	我對政治很感興趣。
I'm staying at the Hilton Hotel.	我留在希尔顿宾馆。
Get down!	趴下！
You'll miss me when I'm gone.	我走了你会想我。
My brother's room is always a mess.	我弟弟的房间总是很乱。
He bent over backward to please his wife.	他竭尽全力地讨好他老婆。
There must be a way to arrive at a diplomatic solution.	必须有外交解决的途径。
He was killed by a single bullet.	他被一顆子彈打死了。
Let's go and see as many things as we can.	我们走，尽可能多看点东西。
He's three years older than me.	他比我大三歲。
I'd like you to tell me the truth.	我想要你把真相告诉我。
Does it sound like I'm in love?	聽起來像是我戀愛了嗎？
Don't quit your day job.	别辞掉你的正职。
What do you want to be when you grow up?	你长大后想成为什么？
I'm not interested.	我不感兴趣。
I didn't know that he was there.	我不知道他在那裡。
Was this letter written by Mary?	这封信是玛丽写的吗？
Tom declined to give details.	汤姆拒绝提供详细信息。
Her only pleasure is listening to music.	她唯一的樂趣就是聽音樂。
I give up.	我放弃。
What if something gets broken?	要是有东西坏了呢。
He and I are brothers.	他和我是兄弟。
Is there anything in the box?	箱子裡有任何東西嗎?
It's confidential.	这是机密。
She kept me waiting for 30 minutes.	她让我等了30分钟。
Are you afraid of being fired?	你害怕被炒鱿鱼吗？
I'm worried about my weight.	我担心我的体重。
It's only a matter of time.	這只是時間的問題。
Why didn't you turn up on Saturday?	你為何週六沒來？
Don't distract me while I am studying.	当我学习的时候不要打扰我。
She carried the box under her arm.	她把箱子挾在手臂下。
Is he right?	他对吗？
Tom got out of the jeep.	汤姆从吉普车上下来了。
I really am unlucky!	我真的很倒霉！
I am a student, but he isn't.	我是個學生，但他不是。
I met a friend.	我遇见一个朋友。
Tom is playing the violin now.	湯姆正在拉小提琴。
Will six o'clock suit you?	六點鐘你方便嗎?
What do I have to do now that I'm registered?	我注册了，现在该干什么呢？
Our house was robbed while we were away.	我们走开的时候，房子被盗窃了。
The train was delayed because of heavy snowfall.	火车因大雪被耽搁了。
The shell of an egg is easily broken.	蛋壳容易破碎。
I apologize for yesterday.	我为昨天发生的事道歉。
I am coming.	我來了。
Well, the night is quite long, isn't it?	夜晚很长，不是吗？
The boy enjoyed painting a picture.	這個男孩喜歡繪畫。
I actually agree with you.	我确实同意你的想法。
Her acting is on the level of a professional.	她的演技堪比专业人士。
